ts_recorded_data,ts_unix_recorded_data,ts_weather,ts_unix_weather,rain_mm,temp_c
2019-08-13 22:33:39,1565735619,2019-08-16 11:00:00,1565953200,0.1792,19.22
2019-08-13 22:33:39,1565735619,2019-08-16 12:00:00,1565956800,0.1651,20.05
2019-08-13 22:33:39,1565735619,2019-08-16 13:00:00,1565960400,0.1088,20.89
2019-08-13 22:33:39,1565735619,2019-08-16 14:00:00,1565964000,0.0966,21.44
2019-08-13 22:33:39,1565735619,2019-08-16 15:00:00,1565967600,0.1104,21.89
2019-08-13 22:33:39,1565735619,2019-08-16 16:00:00,1565971200,0.0888,21.63
2019-08-13 22:33:39,1565735619,2019-08-16 17:00:00,1565974800,0.1123,20.81
2019-08-13 22:33:39,1565735619,2019-08-16 18:00:00,1565978400,0.1547,19.94
2019-08-13 22:33:39,1565735619,2019-08-16 19:00:00,1565982000,0.0895,18.99
2019-08-13 22:33:39,1565735619,2019-08-16 20:00:00,1565985600,0.0175,17.81
2019-08-13 22:33:39,1565735619,2019-08-16 21:00:00,1565989200,0,16.73
2019-08-13 22:33:39,1565735619,2019-08-16 22:00:00,1565992800,0.0081,15.8
2019-08-13 22:33:39,1565735619,2019-08-16 23:00:00,1565996400,0.0397,15.15
2019-08-13 22:33:39,1565735619,2019-08-17 00:00:00,1566000000,0.0691,14.69
2019-08-13 22:33:39,1565735619,2019-08-17 01:00:00,1566003600,0.043,14.22
2019-08-13 22:33:39,1565735619,2019-08-17 02:00:00,1566007200,0.0115,13.68
2019-08-13 22:33:39,1565735619,2019-08-17 03:00:00,1566010800,0,13.34
2019-08-13 22:33:39,1565735619,2019-08-17 04:00:00,1566014400,0,13.16
2019-08-13 22:33:39,1565735619,2019-08-17 05:00:00,1566018000,0,13.02
2019-08-13 22:33:39,1565735619,2019-08-17 06:00:00,1566021600,0,13.22
2019-08-13 22:33:39,1565735619,2019-08-17 07:00:00,1566025200,0,13.78
2019-08-13 22:33:39,1565735619,2019-08-17 08:00:00,1566028800,0,14.25
2019-08-13 22:33:39,1565735619,2019-08-17 09:00:00,1566032400,0.0089,15.05
2019-08-13 22:33:39,1565735619,2019-08-17 10:00:00,1566036000,0.0105,16.08
2019-08-13 22:33:39,1565735619,2019-08-17 11:00:00,1566039600,0.0109,16.96
2019-08-13 22:33:39,1565735619,2019-08-17 12:00:00,1566043200,0.0103,17.83
2019-08-13 22:33:39,1565735619,2019-08-17 13:00:00,1566046800,0.0068,18.31
2019-08-13 22:33:39,1565735619,2019-08-17 14:00:00,1566050400,0.0066,18.66
2019-08-13 22:33:39,1565735619,2019-08-17 15:00:00,1566054000,0.0104,18.64
2019-08-13 22:33:39,1565735619,2019-08-17 16:00:00,1566057600,0.0095,18.34
2019-08-13 22:33:39,1565735619,2019-08-17 17:00:00,1566061200,0.0115,17.46
2019-08-13 22:33:39,1565735619,2019-08-17 18:00:00,1566064800,0.0151,16.92
2019-08-13 22:33:39,1565735619,2019-08-17 19:00:00,1566068400,0.0102,16.18
2019-08-13 22:33:39,1565735619,2019-08-17 20:00:00,1566072000,0.0065,15.29
2019-08-13 22:33:39,1565735619,2019-08-17 21:00:00,1566075600,0.0092,14.37
2019-08-13 22:33:39,1565735619,2019-08-17 22:00:00,1566079200,0.0228,13.47
2019-08-13 22:33:39,1565735619,2019-08-17 23:00:00,1566082800,0.0547,12.91
2019-08-13 22:33:39,1565735619,2019-08-18 00:00:00,1566086400,0.0839,12.55
2019-08-13 22:33:39,1565735619,2019-08-18 01:00:00,1566090000,0.0726,12.37
2019-08-13 22:33:39,1565735619,2019-08-18 02:00:00,1566093600,0.0471,12.07
2019-08-13 22:33:39,1565735619,2019-08-18 03:00:00,1566097200,0.0374,11.92
2019-08-13 22:33:39,1565735619,2019-08-18 04:00:00,1566100800,0.0517,11.69
2019-08-13 22:33:39,1565735619,2019-08-18 05:00:00,1566104400,0.0838,11.67
2019-08-13 22:33:39,1565735619,2019-08-18 06:00:00,1566108000,0.0953,12.15
2019-08-13 22:33:39,1565735619,2019-08-18 07:00:00,1566111600,0.0515,12.76
2019-08-13 22:33:39,1565735619,2019-08-18 08:00:00,1566115200,0.0109,13.5
2019-08-13 22:33:39,1565735619,2019-08-18 09:00:00,1566118800,0,14.48
2019-08-13 22:33:39,1565735619,2019-08-18 10:00:00,1566122400,0,15.43
2019-08-13 22:33:39,1565735619,2019-08-18 11:00:00,1566126000,0.0219,16.39
2019-08-13 22:33:39,1565735619,2019-08-18 12:00:00,1566129600,0.0439,17.03
2019-08-13 22:33:39,1565735619,2019-08-18 13:00:00,1566133200,0.0512,17.44
2019-08-13 22:33:39,1565735619,2019-08-18 14:00:00,1566136800,0.0499,17.42
2019-08-13 22:33:39,1565735619,2019-08-18 15:00:00,1566140400,0.0435,17.24
2019-08-13 22:33:39,1565735619,2019-08-18 16:00:00,1566144000,0.0309,16.72
2019-08-13 22:33:39,1565735619,2019-08-18 17:00:00,1566147600,0.0178,16.2
2019-08-13 22:33:39,1565735619,2019-08-18 18:00:00,1566151200,0.0111,15.75
2019-08-13 22:33:39,1565735619,2019-08-18 19:00:00,1566154800,0.0102,15.35
2019-08-13 22:33:39,1565735619,2019-08-18 20:00:00,1566158400,0.0182,14.58
2019-08-13 22:33:39,1565735619,2019-08-18 21:00:00,1566162000,0.0286,13.84
2019-08-13 22:33:39,1565735619,2019-08-18 22:00:00,1566165600,0.0342,12.96
2019-08-13 22:33:39,1565735619,2019-08-18 23:00:00,1566169200,0.0382,12.47
2019-08-13 22:33:39,1565735619,2019-08-19 00:00:00,1566172800,0.0423,12.21
2019-08-13 22:33:39,1565735619,2019-08-19 01:00:00,1566176400,0.0395,12.19
2019-08-13 22:33:39,1565735619,2019-08-19 02:00:00,1566180000,0.0332,12.15
2019-08-13 22:33:39,1565735619,2019-08-19 03:00:00,1566183600,0.0326,12.02
2019-08-13 22:33:39,1565735619,2019-08-19 04:00:00,1566187200,0.0463,11.67
2019-08-13 22:33:39,1565735619,2019-08-19 05:00:00,1566190800,0.0717,11.44
2019-08-13 22:33:39,1565735619,2019-08-19 06:00:00,1566194400,0.0834,11.68
2019-08-13 22:33:39,1565735619,2019-08-19 07:00:00,1566198000,0.0598,12.16
2019-08-13 22:33:39,1565735619,2019-08-19 08:00:00,1566201600,0.0288,13.01
2019-08-13 22:33:39,1565735619,2019-08-19 09:00:00,1566205200,0.0127,13.83
2019-08-13 22:33:39,1565735619,2019-08-19 10:00:00,1566208800,0,14.63
2019-08-13 22:33:39,1565735619,2019-08-19 11:00:00,1566212400,0,15.42
2019-08-13 22:33:39,1565735619,2019-08-19 12:00:00,1566216000,0,16.04
2019-08-13 22:33:39,1565735619,2019-08-19 13:00:00,1566219600,0.0252,16.97
2019-08-13 22:33:39,1565735619,2019-08-19 14:00:00,1566223200,0.1382,17.72
