,ts_recorded_data,ts_unix_recorded_data,ts_weather,ts_unix_weather,rain_mm,temp_c
59,2019-08-05 09:59:54,1564999194,2019-08-07 20:00:00,1565208000,0.0551,17.56
60,2019-08-05 09:59:54,1564999194,2019-08-07 21:00:00,1565211600,0.0256,16.54
61,2019-08-05 09:59:54,1564999194,2019-08-07 22:00:00,1565215200,0.0165,15.76
62,2019-08-05 09:59:54,1564999194,2019-08-07 23:00:00,1565218800,0.0131,15.26
63,2019-08-05 09:59:54,1564999194,2019-08-08 00:00:00,1565222400,0.0135,14.84
64,2019-08-05 09:59:54,1564999194,2019-08-08 01:00:00,1565226000,0.0219,14.45
65,2019-08-05 09:59:54,1564999194,2019-08-08 02:00:00,1565229600,0.0404,14.13
66,2019-08-05 09:59:54,1564999194,2019-08-08 03:00:00,1565233200,0.0513,13.91
67,2019-08-05 09:59:54,1564999194,2019-08-08 04:00:00,1565236800,0.0319,13.59
68,2019-08-05 09:59:54,1564999194,2019-08-08 05:00:00,1565240400,0.0142,13.44
69,2019-08-05 09:59:54,1564999194,2019-08-08 06:00:00,1565244000,0.0108,13.68
70,2019-08-05 09:59:54,1564999194,2019-08-08 07:00:00,1565247600,0.006,14.22
71,2019-08-05 09:59:54,1564999194,2019-08-08 08:00:00,1565251200,0,14.91
72,2019-08-05 09:59:54,1564999194,2019-08-08 09:00:00,1565254800,0,15.78
73,2019-08-05 09:59:54,1564999194,2019-08-08 10:00:00,1565258400,0,16.52
74,2019-08-05 09:59:54,1564999194,2019-08-08 11:00:00,1565262000,0.008,17.05
75,2019-08-05 09:59:54,1564999194,2019-08-08 12:00:00,1565265600,0.0211,17.28
76,2019-08-05 09:59:54,1564999194,2019-08-08 13:00:00,1565269200,0.0353,17.47
77,2019-08-05 09:59:54,1564999194,2019-08-08 14:00:00,1565272800,0.0557,17.45
78,2019-08-05 09:59:54,1564999194,2019-08-08 15:00:00,1565276400,0.0905,17.43
79,2019-08-05 09:59:54,1564999194,2019-08-08 16:00:00,1565280000,0.1525,17.16
80,2019-08-05 09:59:54,1564999194,2019-08-08 17:00:00,1565283600,0.2577,16.89
81,2019-08-05 09:59:54,1564999194,2019-08-08 18:00:00,1565287200,0.3917,16.92
82,2019-08-05 09:59:54,1564999194,2019-08-08 19:00:00,1565290800,1.046,17.4
83,2019-08-05 09:59:54,1564999194,2019-08-08 20:00:00,1565294400,1.4333,17.21
84,2019-08-05 09:59:54,1564999194,2019-08-08 21:00:00,1565298000,1.7315,16.91
85,2019-08-05 09:59:54,1564999194,2019-08-08 22:00:00,1565301600,1.8402,16.77
86,2019-08-05 09:59:54,1564999194,2019-08-08 23:00:00,1565305200,1.8245,16.76
87,2019-08-05 09:59:54,1564999194,2019-08-09 00:00:00,1565308800,1.6556,16.68
88,2019-08-05 09:59:54,1564999194,2019-08-09 01:00:00,1565312400,1.2661,16.69
89,2019-08-05 09:59:54,1564999194,2019-08-09 02:00:00,1565316000,0.8793,16.71
90,2019-08-05 09:59:54,1564999194,2019-08-09 03:00:00,1565319600,0.6252,16.79
91,2019-08-05 09:59:54,1564999194,2019-08-09 04:00:00,1565323200,0.3473,16.72
92,2019-08-05 09:59:54,1564999194,2019-08-09 05:00:00,1565326800,0.1375,16.78
93,2019-08-05 09:59:54,1564999194,2019-08-09 06:00:00,1565330400,0.0909,16.83
94,2019-08-05 09:59:54,1564999194,2019-08-09 07:00:00,1565334000,0.1388,17.14
95,2019-08-05 09:59:54,1564999194,2019-08-09 08:00:00,1565337600,0.2988,17.56
96,2019-08-05 09:59:54,1564999194,2019-08-09 09:00:00,1565341200,0.4665,17.99
97,2019-08-05 09:59:54,1564999194,2019-08-09 10:00:00,1565344800,0.4765,18.35
98,2019-08-05 09:59:54,1564999194,2019-08-09 11:00:00,1565348400,0.4185,18.71
99,2019-08-05 09:59:54,1564999194,2019-08-09 12:00:00,1565352000,0.4045,19.04
100,2019-08-05 09:59:54,1564999194,2019-08-09 13:00:00,1565355600,0.4706,20
101,2019-08-05 09:59:54,1564999194,2019-08-09 14:00:00,1565359200,0.5695,20.76
102,2019-08-05 09:59:54,1564999194,2019-08-09 15:00:00,1565362800,0.5819,21.28
103,2019-08-05 09:59:54,1564999194,2019-08-09 16:00:00,1565366400,0.4051,20.69
104,2019-08-05 09:59:54,1564999194,2019-08-09 17:00:00,1565370000,0.2122,19.68
105,2019-08-05 09:59:54,1564999194,2019-08-09 18:00:00,1565373600,0.1266,18.77
106,2019-08-05 09:59:54,1564999194,2019-08-09 19:00:00,1565377200,0.1103,18.28
107,2019-08-05 09:59:54,1564999194,2019-08-09 20:00:00,1565380800,0.1339,17.66
108,2019-08-05 09:59:54,1564999194,2019-08-09 21:00:00,1565384400,0.1542,17.03
109,2019-08-05 09:59:54,1564999194,2019-08-09 22:00:00,1565388000,0.1179,16.43
110,2019-08-05 09:59:54,1564999194,2019-08-09 23:00:00,1565391600,0.0749,15.97
111,2019-08-05 09:59:54,1564999194,2019-08-10 00:00:00,1565395200,0.0523,15.54
112,2019-08-05 09:59:54,1564999194,2019-08-10 01:00:00,1565398800,0.0398,15.14
113,2019-08-05 09:59:54,1564999194,2019-08-10 02:00:00,1565402400,0.0402,14.83
114,2019-08-05 09:59:54,1564999194,2019-08-10 03:00:00,1565406000,0.0415,14.53
115,2019-08-05 09:59:54,1564999194,2019-08-10 04:00:00,1565409600,0.025,13.92
116,2019-08-05 09:59:54,1564999194,2019-08-10 05:00:00,1565413200,0.013,13.28
117,2019-08-05 09:59:54,1564999194,2019-08-10 06:00:00,1565416800,0.0152,13.28
118,2019-08-05 09:59:54,1564999194,2019-08-10 07:00:00,1565420400,0.0188,14.13
119,2019-08-05 09:59:54,1564999194,2019-08-10 08:00:00,1565424000,0.0302,15.32
120,2019-08-05 09:59:54,1564999194,2019-08-10 09:00:00,1565427600,0.0433,16.2
121,2019-08-05 09:59:54,1564999194,2019-08-10 10:00:00,1565431200,0.0559,16.6
122,2019-08-05 09:59:54,1564999194,2019-08-10 11:00:00,1565434800,0.1241,16.83
123,2019-08-05 09:59:54,1564999194,2019-08-10 12:00:00,1565438400,0.1892,17.02
